title,author,file,description,column,row
Incomplete Dinosaur,Joshua Segaran,josh_dino,,0,0
Hammock on a Hill,Jake Kinney,hammock,,0,1
Winter,Yilun Du,yilun_winter,,0,2
Spring,Yilun Du,yilun_spring,,0,3
Autumn,Yilun Du,yilun_autumn,,0,4
Summer,Yilun Du,yilun_summer,,0,5
Mountain,Yilun Du,yilun_mountain,,0,6
Blueberry Bear,Jake Kinney,jake_bear,,1,0
Moon Lander,Mihir Khambete,moon,,1,1
Umbreon,Deep Gupta,umbreon,,1,2
Juicebox Night,Laura Koemmpel,juicebox,,1,3
Abstract,Anya Singhal,abstract,,1,4
Hospital Room,Gabe Mintzer,hospital,,2,0
Pancake upon the Floor,Michael Kural,pancake,,2,1
Cody on the Couch,Maddy Kline,cody,,2,2
Bearded Dragon,Varun Mangalick,lizard,,2,3
Blueberry the Betta,Varun Mangalick,betta,,2,4
Penguins,Varun Mangalick,varun_penguins,,2,5
Rainbow Noodles,Varun Mangalick,noodles,,2,6
Penguins,Abhijit Mudigonda,abhijit_penguins,,3,0
Geometric Sunset,Varun Mangalick,sunset,,3,1
Hollow Stump,Varun Mangalick,stump,,3,2
Midnight Owl,Varun Mangalick,owl,,3,3
Ostrich,Varun Mangalick,ostrich,,3,4
This is Fine,Alex Yang,fine_meme,,4,0
Tom,Nithin Buduma,tom,,4,1
Glowing Alien Sphere,Varun Mangalick,sphere,,4,2
Propaganda Poster of a Plush Dino,Varun Mangalick,varun_dino,,4,3
Songbird,Kavish Gandhi,bird,,4,4
Japanese Monkey with Stolen Phone,Jenn Lu,monkey,,4,5
Midnight Cube,Angus MacMullen,cube,,4,6
Blue Flowers,Smrithi Raman,flowers,,5,0
Jungle Sunset,Avni Singhal,avni_sunset,,5,1
Hummingbird,Justina Yang,hummingbird,,5,2
Grunge R2D2,Neil Aggarwal,r2d2,,5,3
Portrait of Varun (pixellated for modesty),Jenn Lu,pixel_varun,,5,4
Penguin Collage,Jenn Lu,penguin_collage,,6,0
Tree Frog,Varun Mangalick,frog,,6,1
Defect from Slay the Spire,Rachel Zhang,defect,,6,2
Opossum Screaming at its own Ass,Jenn Lu,opossum,,6,3
Ocean in a Drop,Varun Mangalick,ocean_drop,,6,4
Water Drops,Neha Prasad,neha_drops,,6,5
Autumn,Neha Prasad,neha_autumn,,6,6
Penguins,Kavish Gandhi,kavish_penguins,,7,0
Lavender,Smrithi Raman,lavender,,7,1
Spongebob jellyfish,Jasmine Zou,jellyfish,,7,2
Winter Cabin,Neha Prasad,cabin,,7,3
Mountain Lake,Neha Prasad,mountain_lake,,7,4
Autumn,Deep Gupta,deep_autumn,,8,0
Autumn Leaves,Varun Mangalick,autumn_leaves,,8,1
Koi Pond,Varun Mangalick,koi,,8,2
Fabulous Triceratops,Emily Huang,triceratops,,8,3
Flowering Meadow,Sanjana Dutt,meadow,,8,4
Cereal,Angus MacMullen,cereal,,8,5
Upon the Water,Nova Zhang,water_boat,,8,6